checkpoint path: checkpoints/ic15_resnet50_bs_8_ep_60
init lr: 0.00100000
schedule:  [20, 40]
Training from scratch.

Epoch: [1 | 60] LR: 0.001000
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2416: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
/home/zhangyangsong/env1/lib/python3.6/site-packages/torch/nn/functional.py:2506: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode))
(1/1250) Batch: 6.491s | TOTAL: 0min | ETA: 135min | Loss: 0.8698 | Acc_t:  0.4727 | IOU_t:  0.3893 | IOU_k:  0.6918
(21/1250) Batch: 1.336s | TOTAL: 0min | ETA: 27min | Loss: 0.6878 | Acc_t:  0.5887 | IOU_t:  0.4576 | IOU_k:  0.6658
(41/1250) Batch: 1.211s | TOTAL: 1min | ETA: 24min | Loss: 0.6273 | Acc_t:  0.6537 | IOU_t:  0.4883 | IOU_k:  0.6839
(61/1250) Batch: 1.164s | TOTAL: 1min | ETA: 23min | Loss: 0.5948 | Acc_t:  0.6864 | IOU_t:  0.5029 | IOU_k:  0.6893
(81/1250) Batch: 1.140s | TOTAL: 2min | ETA: 22min | Loss: 0.5750 | Acc_t:  0.7040 | IOU_t:  0.5142 | IOU_k:  0.6898
(101/1250) Batch: 1.127s | TOTAL: 2min | ETA: 22min | Loss: 0.5516 | Acc_t:  0.7220 | IOU_t:  0.5325 | IOU_k:  0.6945
(121/1250) Batch: 1.116s | TOTAL: 2min | ETA: 21min | Loss: 0.5394 | Acc_t:  0.7392 | IOU_t:  0.5493 | IOU_k:  0.7010
(141/1250) Batch: 1.109s | TOTAL: 3min | ETA: 21min | Loss: 0.5276 | Acc_t:  0.7492 | IOU_t:  0.5625 | IOU_k:  0.7056
(161/1250) Batch: 1.103s | TOTAL: 3min | ETA: 20min | Loss: 0.5170 | Acc_t:  0.7588 | IOU_t:  0.5756 | IOU_k:  0.7087
(181/1250) Batch: 1.098s | TOTAL: 3min | ETA: 20min | Loss: 0.5023 | Acc_t:  0.7630 | IOU_t:  0.5863 | IOU_k:  0.7072
(201/1250) Batch: 1.095s | TOTAL: 4min | ETA: 19min | Loss: 0.4940 | Acc_t:  0.7651 | IOU_t:  0.5936 | IOU_k:  0.7062
(221/1250) Batch: 1.094s | TOTAL: 4min | ETA: 19min | Loss: 0.4845 | Acc_t:  0.7674 | IOU_t:  0.6007 | IOU_k:  0.7062
